[13-Jun-2016 13:59:25 Asia/Bangkok] PHP Parse error:  syntax error, unexpected ''select * from ck_protect wher' (T_CONSTANT_ENCAPSED_STRING), expecting identifier (T_STRING) in D:\xampp\htdocs\Vtiger\insurance\eventadd.php on line 283
[13-Jun-2016 14:04:07 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\eventadd.php on line 285
[13-Jun-2016 15:02:54 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\chooseprotect.php on line 23
[13-Jun-2016 15:03:15 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\chooseprotect.php on line 23
[13-Jun-2016 16:17:33 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\addinsurance.php on line 43
[13-Jun-2016 16:18:14 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\addinsurance.php on line 43
[13-Jun-2016 16:19:01 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\addinsurance.php on line 43
[13-Jun-2016 17:15:27 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\updata.php on line 116
[13-Jun-2016 17:15:27 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\updata.php on line 130
[13-Jun-2016 17:15:27 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\updata.php on line 144
